Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2004,2004,tonnes,52000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2005,2005,tonnes,60000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2006,2006,tonnes,62000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2007,2007,tonnes,65000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2008,2008,tonnes,62000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2009,2009,tonnes,63000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2010,2010,tonnes,64000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2011,2011,tonnes,75000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2012,2012,tonnes,77000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,366,Artichokes,2013,2013,tonnes,77000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2004,2004,tonnes,5800000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2005,2005,tonnes,5900000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2006,2006,tonnes,6100000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2007,2007,tonnes,6250000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2008,2008,tonnes,6350000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2009,2009,tonnes,6500000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2010,2010,tonnes,6600000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2011,2011,tonnes,7250000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2012,2012,tonnes,7350000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,367,Asparagus,2013,2013,tonnes,7000000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2004,2004,tonnes,9280000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2005,2005,tonnes,10900000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2006,2006,tonnes,12500000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2007,2007,tonnes,13450000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2008,2008,tonnes,14455000,,Official data
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2009,2009,tonnes,14673000,,Official data
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2010,2010,tonnes,15157000,*,Unofficial figure
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2011,2011,tonnes,15638100,,Official data
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2012,2012,tonnes,16397300,,Official data
QC,Crops,41,"China, mainland",5510,Production,414,"Beans, green",2013,2013,tonnes,16661400,,Official data
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2004,2004,tonnes,33000000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2005,2005,tonnes,32000000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2006,2006,tonnes,31000000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2007,2007,tonnes,30000000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2008,2008,tonnes,30345000,,Official data
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2009,2009,tonnes,29625000,,Official data
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2010,2010,tonnes,30650000,*,Unofficial figure
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2011,2011,tonnes,31750000,*,Unofficial figure
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2012,2012,tonnes,31500000,F,FAO estimate
QC,Crops,41,"China, mainland",5510,Production,358,Cabbages and other brassicas,2013,2013,tonnes,31700000,F,FAO estimate
